,alt,lat,lon,ph_pitch,ph_roll,ph_yaw
33,3.709,32.9408767,35.1049914,0.0302406251431,-0.021197360009,-2.92997431755
34,3.699,32.9408768,35.1049913,0.0298294834793,-0.0212604515254,-2.93023538589
35,3.709,32.9408768,35.1049913,0.0294993557036,-0.0216011535376,-2.93062233925
36,3.679,32.9408768,35.1049912,0.0294211953878,-0.0216253176332,-2.93091893196
37,3.639,32.9408769,35.1049912,0.0295709446073,-0.0215757191181,-2.93048977852
38,3.57,32.940877,35.1049912,0.0294315293431,-0.0217168517411,-2.9308283329
39,3.52,32.940877,35.1049912,0.0289428718388,-0.0220934394747,-2.93110322952
40,3.49,32.9408768,35.1049912,0.0281810685992,-0.0220773257315,-2.93114066124
41,3.48,32.9408764,35.1049911,0.0278054773808,-0.0217462182045,-2.93082237244
42,3.47,32.9408763,35.104991,0.027834482491,-0.0217340439558,-2.93098831177
43,3.46,32.9408763,35.104991,0.0278144143522,-0.0210075918585,-2.92994642258
44,3.46,32.9408764,35.104991,0.0282745100558,-0.0215591974556,-2.9312889576
45,3.439,32.9408765,35.104991,0.0284755527973,-0.0214503444731,-2.93090343475
46,3.409,32.9408764,35.1049911,0.0274607352912,-0.0214731059968,-2.93027925491
47,3.379,32.9408762,35.1049912,0.0275458842516,-0.0223059393466,-2.93115401268
48,3.37,32.9408761,35.1049914,0.0275118798018,-0.0222066640854,-2.93101501465
49,3.36,32.940876,35.1049915,0.0276094339788,-0.021828468889,-2.93114280701
50,3.36,32.9408759,35.1049915,0.0278294421732,-0.0214466843754,-2.93120908737
51,3.36,32.9408759,35.1049914,0.028219088912,-0.0214502438903,-2.93160963058
52,3.36,32.940876,35.1049913,0.0283146910369,-0.0204812213778,-2.93165946007
53,3.35,32.9408762,35.1049911,0.0290231257677,-0.020378395915,-2.9318125248
54,3.36,32.9408764,35.1049911,0.029440253973,-0.0207807794213,-2.93169569969
55,3.37,32.9408765,35.1049913,0.0295587778091,-0.0214835181832,-2.9315674305
56,3.35,32.9408766,35.1049917,0.0295734405518,-0.0209509003907,-2.93074369431
57,3.33,32.9408766,35.1049918,0.0295246727765,-0.0212288834155,-2.9317009449
58,3.32,32.9408767,35.1049918,0.0293880440295,-0.0207496378571,-2.93147039413
59,3.33,32.9408767,35.1049917,0.029659114778,-0.0206092856824,-2.93186330795
60,3.33,32.9408769,35.1049916,0.0297979526222,-0.0201987698674,-2.9322810173
61,3.34,32.9408771,35.1049914,0.0297805033624,-0.0201283320785,-2.93243074417
62,3.33,32.9408772,35.1049915,0.0297158285975,-0.0201461985707,-2.93226695061
63,3.31,32.9408774,35.1049916,0.0300373658538,-0.0203001126647,-2.93210983276
64,3.3,32.9408776,35.1049918,0.0303643196821,-0.020816128701,-2.93181467056
65,3.29,32.9408778,35.104992,0.0303031615913,-0.0207326002419,-2.93180727959
66,3.28,32.9408778,35.1049921,0.0298021025956,-0.020857796073,-2.93200087547
